Protein Name,D8_KO1,D8_KO2,D8_KO3,D8_KO4,D8_WT_1,D8_WT_3,D8_WT_4,D8_WT_5
ROA1_MOUSE,-0.428711768,-0.470505966,-0.526759317,-0.478262232,-0.843185494,-1.032706116,-0.88871095,-0.778754518
GSTM1_MOUSE,0.930869265,0.638703412,0.505513508,0.550396559,0.375994642,0.18873066,0.233061432,0.21328175
1433Z_MOUSE,0.07153571,-0.163504872,-0.270966601,-0.175619452,-0.348372755,-0.66040116,-0.594536248,-0.540062079
NEDD8_MOUSE,-1.315420282,-1.182028947,-1.638676459,-1.448452865,,,,-1.796417708
ODPA_MOUSE,-0.433020263,-0.489647774,-0.710585221,-0.487129895,-1.11816303,-0.839893266,-0.635268405,-1.12778176
PUR4_MOUSE,-0.498393832,-0.562273547,-0.533052535,-0.419978159,-0.804179201,-0.971633986,-0.948367066,-0.887390053
CH10_MOUSE,0.475679212,0.654351373,0.558218136,0.620796662,0.173077324,0.07806897,0.174337017,0.291724626
EHD2_MOUSE,-0.42816511,-0.633391152,-0.806107213,-0.630304066,-1.221664416,-1.207217092,-0.950638356,-0.710141825
PDIA1_MOUSE,0.394853811,0.202934589,0.11236919,0.294628823,-0.089017961,-0.401259632,-0.051888585,-0.041845709
SEPT2_MOUSE,-0.001785307,-0.073208519,-0.233038547,-0.086644204,-0.830866207,-0.441280572,-0.313316871,-0.390655645
FLNC_MOUSE,-0.4856422,-0.883957608,-0.87263957,-0.651825584,-1.211016815,-1.256918979,-1.123110076,-0.881957491
DDB1_MOUSE,-0.549727727,-0.799516468,-0.857762005,-0.820554379,-1.195505124,-1.030099746,-1.067158963,-1.267979326
ARF4_MOUSE,-0.708144633,-0.747034374,-1.059714654,-0.893041069,-1.237742608,-1.341004401,-1.168801254,-1.189579494
SPTB2_MOUSE,0.201479272,-0.117852717,-0.181045201,-0.081793824,-0.508087623,-0.317108266,-0.340722038,-0.535867438
DX39A_MOUSE,-0.085244142,-0.260691561,-0.120067898,-0.287808445,-0.608826549,-0.746342498,-0.679033542,-0.235789989
G6PI_MOUSE,0.381757095,0.329054074,-0.024980294,0.118501608,-0.220690334,-0.224499978,-0.127703934,-0.135579244
ANXA1_MOUSE,-0.067155377,-0.445492269,-0.535120496,-0.407152532,-0.603101295,-0.687199294,-0.904818316,-0.759951221
FIBB_MOUSE,0.528663538,0.413627214,0.320296265,0.303247443,0.058673781,-0.200729191,0.138928914,0.069923702
ARPC3_MOUSE,-0.201399457,-0.332267234,-0.301002036,-0.442895305,-0.754881317,-0.7642792,-0.745212006,-0.503350656
EF2_MOUSE,-0.189313817,-0.337199668,-0.450055648,-0.361128903,-0.697540897,-0.76145652,-0.76610509,-0.60180631
LAMC1_MOUSE,-0.372227761,-0.605713076,-0.939387021,-0.678753605,-0.984729619,-0.907973186,-1.103035346,-1.088587866
A1AT5_MOUSE,0.541560662,0.465177125,0.315492399,0.374333888,0.191219685,-0.177073602,0.063079605,0.136720066
MYLK_MOUSE,-0.117086008,-0.271123499,-0.392243643,-0.303842207,-0.620699853,-0.707831869,-0.690417423,-0.546570571
PGK1_MOUSE,0.188724066,0.157257937,-0.065543332,0.153979835,-0.241725732,-0.337580018,-0.279092836,-0.185000154
PDLI1_MOUSE,-0.536501236,-0.4713751,-0.488271185,-0.595764874,-0.820216898,-0.871226053,-1.004671301,-0.873577443
TCPQ_MOUSE,0.262737608,0.232980687,0.028837954,0.090073343,-0.132452674,-0.226789467,-0.256004838,-0.244362368
TCPH_MOUSE,-1.067275728,-1.16552441,-1.404684687,-1.259209521,-1.72241406,-1.478855061,-1.764792091,-1.403278862
DHSA_MOUSE,-0.544765576,-0.650993582,-0.67606738,-0.636726574,-1.091038845,-0.955540694,-0.924331099,-1.009630971
AL7A1_MOUSE,-0.968057005,-0.973025542,-1.106117372,-0.971050103,-1.491907148,-1.38022468,-1.333880946,-1.27716916
ESTD_MOUSE,-0.73362715,-0.837168225,-1.139077826,-0.873451066,-1.323926452,-1.258230012,-1.292114071,-1.169494616
FINC_MOUSE,0.038692604,-0.243712035,-0.261472547,-0.205913763,-0.604944467,-0.528034538,-0.57017632,-0.415619555
A2M_MOUSE,0.536129422,0.466817143,0.253585694,0.238654843,0.133223229,-0.182816017,0.11022375,-0.009309498
DDX17_MOUSE,-0.495749974,-0.600313162,-0.611486396,-0.678709971,-0.908869139,-0.900782517,-1.123509947,-0.886104
TBB4A_MOUSE,0.714885031,0.70210726,0.551987081,0.637262854,0.284093537,0.25051983,0.332907615,0.313868851
BTF3_MOUSE,-0.321287502,-0.266792866,-0.348197019,-0.453237127,-0.637229213,-0.86990194,-0.774845497,-0.531787728
RBM3_MOUSE,-0.752810141,-0.623433978,-0.779423785,-0.765020887,-1.061486809,-1.162749901,-1.189269628,-0.930116562
DPYL2_MOUSE,-0.970175864,-1.146568927,-1.286920185,-1.20481047,-1.455643447,-1.669910953,-1.348961685,-1.548623982
K2C8_MOUSE,-0.096798294,-0.192085646,-0.437789157,-0.267162932,-0.482570025,-0.792256971,-0.567586377,-0.564890212
MATR3_MOUSE,-0.062107135,-0.134544377,-0.0932371,-0.1003295,-0.395032569,-0.504282522,-0.409597005,-0.475283731
HS71L_MOUSE,-0.444291446,-0.564688546,-0.713521008,-0.619273343,-0.861415641,-0.999220283,-1.054491239,-0.815873637
HMGB2_MOUSE,0.662406032,0.541665682,0.47383988,0.569653456,0.309734567,0.094481262,0.238259279,0.219663129
