Protein Name,D8_KO1,D8_KO2,D8_KO3,D8_KO4,D8_WT_1,D8_WT_3,D8_WT_4,D8_WT_5
H2B2E_MOUSE,1.060816999,1.436252123,1.408538385,1.234263854,1.810826491,2.012715716,1.725682988,1.579288885
H13_MOUSE,0.351092441,0.293135746,0.120270642,0.185460852,0.32860784,0.941872468,0.85357901,0.85257755
H14_MOUSE,0.374382426,0.293135746,0.149056004,0.164868155,0.358220563,0.943311827,0.853247757,0.889363464
H11_MOUSE,-1.247450562,-1.348676114,-1.541281055,-1.496131831,-1.363962121,-0.595514434,-0.762894529,-0.845752075
H2A1_MOUSE,1.216592822,1.374727746,1.247350392,1.223231325,1.668113119,2.102934037,1.941375016,1.427166006
H2A3_MOUSE,1.216592822,1.374727746,1.247350392,1.223231325,1.668113119,2.102934037,1.941375016,1.427166006
H2A1F_MOUSE,1.216592822,1.38532339,1.230058245,1.218660707,1.671242949,2.118121023,1.966213719,1.41964905
H2AX_MOUSE,1.216592822,1.38532339,1.230058245,1.227801942,1.685457227,2.142371109,1.966213719,1.40707312
H33_MOUSE,1.059185352,1.265084109,1.114713205,0.923272993,1.430994325,1.800463975,1.766832837,1.511323079
H2A2A_MOUSE,1.203130744,1.348547052,1.253827423,1.23044569,1.668113119,2.142371109,1.966213719,1.427166006
H2A1K_MOUSE,1.214045984,1.374727746,1.226668995,1.217949169,1.674372779,2.13330801,1.991052422,1.412132093
H2AY_MOUSE,1.108810982,1.262734467,1.153895901,1.131794668,1.630117859,2.03842385,1.89951145,1.2863612
H31_MOUSE,1.059185352,1.265084109,1.114713205,0.923272993,1.463529697,1.831882203,1.76884821,1.511323079
H2B3A_MOUSE,0.942900152,1.400473865,1.454779692,1.292291042,1.901087525,2.012625799,1.816196749,1.588790771
H2AJ_MOUSE,1.214045984,1.374727746,1.226668995,1.217949169,1.702801336,2.148178335,2.012869171,1.412132093
H2A2C_MOUSE,1.192215504,1.348547052,1.240758667,1.223231325,1.702801336,2.153890518,1.993643924,1.412132093
H2A2B_MOUSE,1.175659343,1.332962002,1.230058245,1.218660707,1.685457227,2.151434208,1.991052422,1.41964905
H15_MOUSE,0.025115071,0.027011701,-0.286589045,-0.111065542,0.035327128,0.709005354,0.654918029,0.591249314
H10_MOUSE,-0.62084104,-0.677545327,-0.898654412,-0.896618931,-0.37619925,0.018028309,-0.045447382,-0.133995236
