MinOfORF,Mass_Tag_ID,CTR_,P10A,P10B,P11A,P11B,P12A,P12B,P13A,P13B,P14A,P14B,P15a,P15B,P16a,P16B,P17a,P17B,P18A,P18B,P19A,P19B,P1A_,P1B_,P2A_,P2B_,P3A_,P3B_,P4A_,P4B_,P5A_,P5B_,P6A_,P6B_,P7A_,P7B_,P8A_,P8B_,P9A_,P9B_
IPI:IPI00003351.2,35609425,-0.83415915,-1.226377718,-1.3359076,,,,,,,,,,,-1.871431493,,-1.522815647,,-2.144827459,-1.914752487,-0.59673445,-0.801276066,,-0.93062775,,,,-1.518645108,-1.578818412,-1.591094517,-0.443879853,,-1.004039034,-1.324078361,,,-0.979265981,,,
IPI:IPI00003362.1,6948851,,,-0.599141518,0.021505451,,,,,-0.108055435,,-0.70674981,,0.407834234,,,,,-0.089749432,-0.16247736,,,,,,,,-0.137591028,-0.455458355,,-1.11709175,-0.834334121,,-0.932362592,,,1.10667934,-0.399658315,0.206003903,
IPI:IPI00003362.1,6948899,,,,,,,-0.144871968,,0.389127076,0.456631891,0.161208675,,,,,,0.268691457,,0.891004244,,-0.152583574,,,,,-0.123146687,0.151294451,0.016308085,,-0.493307869,,,-0.29515041,,-0.395399669,,,,
IPI:IPI00003817.1,9464470,,1.604363439,,,,,,,,2.36868064,,,,,,,1.006763661,,,0.829302776,,,,,,,,,,,,,,,,,,0.568099588,
IPI:IPI00003817.1,9510901,,,,,,,,,,,,,,,,,,1.371975129,,,,,,,,,,,,1.23562043,,,,,,,,0.859543761,
IPI:IPI00003865.1,6955158,,-0.804093729,,0.676781975,,0.542705128,,-0.749934205,,0.496602216,,,0.830420505,,,,,0.275420847,,0.07915186,,,,,,-0.602844808,,-0.170570355,0.294387571,-0.300611018,-0.69312404,-0.370087542,,-0.502799529,,1.375289603,,-1.183335471,
IPI:IPI00003865.1,6959492,,,,,,,,,,,,,,,,,,,0.6094236,0.390827594,,,,,,,,,,-0.34766973,,,,,,,,,
IPI:IPI00003909.1,114040003,,,,,,,,-0.116818959,,,,,0.111070002,,,,,,,,,,,,,,,,,,,,-0.197334903,,,,-0.022296199,,
IPI:IPI00004101.3,8980588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.303834133,,-0.506723361,,,,,,,,-0.102495685
IPI:IPI00004373.1,13619737,,,1.62842445,,,,,,,,-0.14195795,,,,,,,,,,,,,,,,0.280071105,,,1.835109839,2.03642235,,,,,,,,
IPI:IPI00004373.1,35664280,,,2.836697631,1.650979508,0.890392739,,,,,,,-0.392424554,,,1.544962309,-0.03407446,-0.084957769,,,-0.171725862,,,0.832243524,3.124017105,0.00622032,,-1.038875545,2.72569236,2.072979406,,1.96875202,0.943311128,0.395003644,2.022278669,2.901540878,0.019506689,-0.093539318,,0.324064424
IPI:IPI00004373.1,71959866,,,0.543879978,0.330386828,,,-1.313123768,-0.767556717,0.334724253,0.690020738,-1.429129804,-0.242152357,0.533305631,,0.049959119,,-0.665812927,-0.024783207,-0.252783513,-0.379274184,-1.30120412,,0.497325526,0.612573342,-0.866510448,,,0.506777057,-0.106348172,0.735348965,0.861222434,0.222078005,-0.751954012,0.726003457,0.172459876,-0.836131395,,,
IPI:IPI00004373.1,71959896,,,-0.72654889,,,,,,,,,,-0.908619882,,,,,,,,,,,,,,,,,,,,,,,,,,
IPI:IPI00004373.1,86124547,,,,-1.000182711,,,,,,-1.800781298,,,-1.170298847,,,,,,,-1.504986393,,,-1.578394919,-1.644652379,,,,-1.758642683,,-0.970925029,-1.41371037,-1.522953481,,-1.344450649,,,,,
IPI:IPI00004656.1,6985055,,1.007769924,-1.054165626,-0.721761178,-1.067414539,-0.272992402,-1.263476911,1.240324562,-0.055785485,-1.257083492,-1.557805291,-1.728202974,-1.480120539,1.043407443,-0.254044747,-1.226993102,-1.881299945,-0.704076559,-1.276287374,,-1.077986346,-0.638506879,-0.782388311,-0.12575065,-0.822505818,-0.358362915,0.611170892,-0.068335205,-0.39919733,0.98846911,-0.494141087,1.16598957,-1.50551189,-0.981455845,-1.380581166,1.174172746,-1.428517107,1.099504032,
IPI:IPI00004656.1,7393881,,1.087435983,-1.121871623,0.054863567,,-0.000533385,-1.118444809,0.908010818,-0.548323112,,-1.30597921,-0.937536965,-1.539129503,1.022086479,,-0.517325487,,-0.890466134,,-1.057756326,-0.839731613,-0.848761684,-0.766222234,-0.843877085,-0.868675725,-0.757474497,0.297379846,0.236091923,-0.744795946,1.077787503,-0.267578928,1.416895185,-1.539423473,-0.651182352,-1.358703493,1.264014449,-1.173905123,0.946547737,-1.95480282
IPI:IPI00004656.1,8654667,-0.826837453,1.328191211,-0.105080752,0.138634283,0.09506201,0.893132746,-0.227615869,,1.282850141,0.315481709,-0.189750871,-0.716446045,-0.261554078,1.397446582,0.882023192,0.027069964,-0.766013938,0.454885168,0.097191591,-0.691519139,0.328752074,0.205663796,-0.024116117,0.541454231,-0.05100008,0.190994818,1.129548999,0.711334174,0.402877781,1.418362102,0.136734786,,-0.432097816,0.009905908,-0.291751026,1.36171235,-0.28559918,2.312798766,-0.768839245
IPI:IPI00005132.3,10170976,,,,-1.23214678,,,,-2.186575834,-2.225525543,,,-1.453658759,,,,,,,,-1.468115799,-1.455093976,,-1.863656547,,,,,-2.05984471,-2.7003098,-1.992555293,-1.51344972,,-1.747853922,,,-1.655262333,-1.676412617,-0.807923247,
IPI:IPI00005162.1,12677256,,,,,5.726145858,,3.766587988,,,,,,,,,,,,,,,,,,,,2.375494412,,2.954332058,,0.623252257,,2.827120763,,,,0.150848153,,
IPI:IPI00005587.1,70202508,,,,,4.348014301,,3.894683129,,4.397561895,,3.032665093,,,,,,3.299456018,,,,2.76691474,,,,,,,,,,3.57432393,,,,,,,,
IPI:IPI00005809.3,6952997,,,,,,,,,1.226618096,1.014559882,0.203108621,,,,,,,0.957482518,0.796901174,,,,,,,,,,,,,,,0.261778727,,2.601748206,,,
IPI:IPI00006114.4,6728322,-0.764540899,-0.152960637,-0.48095477,-0.157435955,-0.173281486,0.08806547,0.197917141,0.12627279,-0.064290143,-0.378362975,-0.2317256,-0.507370415,-0.737672993,0.237954956,-0.564461861,-0.683450132,-0.381834769,-0.384917783,-0.359931176,-0.590171087,-0.530181101,-0.376792354,-0.694161333,-0.081500278,-0.325492222,-0.348120983,-0.133167718,-0.034517638,-0.087477686,0.097698674,0.326525332,0.17296583,-0.725949599,-0.210153293,-0.732145568,0.065258822,-0.272983618,-0.60994498,-0.782085916
IPI:IPI00006114.4,6839543,-0.65762165,1.11796351,-0.491267997,0.06202426,3.629057765,1.527490765,3.632564598,,4.57980397,2.741510135,1.630828746,1.549644341,2.87065555,0.859977123,1.889879739,0.681265354,3.777354126,1.703248513,1.918260141,0.480689439,-0.416268853,1.303486324,3.324015123,1.884097146,,1.144169154,,1.731394729,0.794584833,-0.515691045,2.899797217,1.395546697,3.329338836,2.159471898,3.977276121,0.499467429,3.294575508,1.108299596,
IPI:IPI00006114.4,8863096,-0.568421892,-0.865751959,-0.321494244,0.00088407,-1.092310727,-0.08154415,0.134402248,0.186981304,-0.398370864,-0.661995441,-0.332544855,-0.483111227,-0.712362423,0.099640981,,-0.454621072,-1.09080395,-0.495395686,-0.36413516,-0.322488836,-0.413727385,-0.392410968,-0.593676422,-0.26949369,-0.119725894,-0.261212537,0.023001662,-0.135662144,-0.041832008,0.212815659,0.309285943,0.298893007,-0.669520268,-0.303841458,-0.875524722,0.155133815,-0.164266143,-0.515024376,-0.926132814
IPI:IPI00006114.4,10165436,-1.016464323,-0.546195771,-0.835406857,-0.351419759,,-0.564247977,-0.330411097,-0.430580583,-1.091177719,-1.306614614,-1.000505623,-0.995171244,-1.409500307,-0.446190806,-1.682546899,-1.155128057,-1.805471694,-1.038637671,-1.080633483,-1.075133795,-1.277259974,-1.045399823,-1.223798072,-0.76500499,-0.683097986,-0.878883112,-0.499914462,-0.641019349,-0.573196088,-0.132927706,0.058394983,-0.115453886,-1.211192834,-0.823816678,,-0.20692298,-0.669843122,-0.973983209,
IPI:IPI00006114.4,10287411,-0.277548535,1.940194965,1.090865759,-0.226395107,1.221546693,1.878767734,2.117406528,1.73513382,1.430945084,1.410276974,1.606683051,0.211997097,1.160333817,1.850390528,0.871844897,0.566557119,,1.346044431,1.407671519,-0.024461899,0.096690227,1.743196044,0.677581295,2.115003663,1.631390309,1.684279647,1.769687385,1.884123168,2.062363973,1.877047704,1.405437152,2.504951484,0.236389312,1.674021225,0.872869014,-0.906852004,1.145844782,0.377214383,0.799461354
IPI:IPI00006114.4,10352311,,,1.885893172,,1.678363086,,2.066153999,,2.02570408,,1.822757786,,,,1.631798504,,1.487447693,,1.620779693,,1.476690428,,,,,,,,,,,,,,,,1.795392818,,
IPI:IPI00006114.4,10375128,-0.855360049,0.019078381,,,-0.165038621,,,,0.01952885,-0.329317473,-0.076851689,,-0.638015167,0.088112456,-0.554161382,,-0.367274345,-0.347700929,-0.459497512,-0.409807194,-0.38287547,,,,,,,,,,,,,,,0.316964848,,,
IPI:IPI00006114.4,10566878,,4.360667502,3.78839617,,4.069475402,,4.292177251,,4.412601813,3.696702606,,3.195661283,3.695216794,5.580295379,3.572632317,3.279269822,3.555118464,3.726301457,4.416971782,,1.556061036,4.118761392,3.310070914,4.887370707,4.126258227,,5.007563522,,5.35065878,,,4.373241488,3.925347655,4.036747547,3.201007474,,3.539750345,3.347706937,4.135133264
IPI:IPI00006114.4,10608637,,,,-0.027802025,-1.691158479,,-1.742012433,-1.160880214,-1.549990874,,-1.927141006,-0.808887796,,-1.716398531,,-1.610403668,,-2.538467358,-2.312020548,-0.685769393,-0.848588315,,,,,,,,,,,,,,,,,,
IPI:IPI00006114.4,10616058,-0.918031281,-0.317160157,-0.622039798,-0.375020796,-0.368954892,-0.1793114,-0.043674939,-0.088814751,-0.354978722,-0.575790273,-0.399700105,-0.645975753,-0.812516019,0.142666982,-0.697352902,-0.705011881,-0.605371371,-0.519737589,-0.509051892,-0.503029506,-0.618549799,-0.479329239,-0.776074608,-0.241157512,-0.318635433,-0.36332959,-0.281106758,-0.245602804,-0.288911293,-0.167005938,0.187661514,-0.048754805,-0.928342698,-0.423911226,-0.811076437,-0.095107379,-0.418134015,-0.722632487,-0.839694273
IPI:IPI00006114.4,10624752,,-0.231033428,-0.592993434,-0.229848171,-0.782970222,-0.236924875,-0.058544242,-0.134145524,-0.592174261,-0.722042673,-0.435411361,-0.685273337,-0.961163263,-0.158012473,-1.036838005,-0.690778568,-0.94149035,-0.666626371,-0.595565283,-0.597408336,-0.797577675,-0.515546559,-0.833505795,-0.392503143,-0.465542717,-0.513007903,-0.238134877,-0.226916071,-0.209821271,0.055538637,0.259774601,-0.034287623,-0.992892639,-0.474067687,-0.959551252,0.076564259,-0.368927761,-0.74929735,-1.234525964
IPI:IPI00006114.4,11560816,-1.397346229,-1.618299123,,-1.497492582,-1.483481145,-1.255037863,-1.0049532,-1.180103964,-1.54303703,-1.794572095,-1.657249083,,-1.941185557,-0.998548341,-1.771031458,-1.793376824,,-1.702403606,-1.749714873,,-1.562304209,,,-1.450124066,,-1.491952769,-1.40405164,-1.360348399,-1.418176721,-1.481255231,,-1.326778742,,-1.710025475,,-1.557845696,,,
IPI:IPI00006114.4,15359566,-0.061642817,0.104311371,-0.011032417,0.226343808,0.515931828,0.750647019,0.666167228,0.726182013,0.568276229,0.023351273,0.4638283,-0.01347475,-0.065884367,0.629620832,0.084039328,-0.275725223,-3.13E-10,0.187748896,0.254818092,-0.760046166,-0.381153066,-0.089969962,-0.18438543,0.382284694,0.268026937,0.199024284,-0.006493497,0.356892222,0.257045532,0.18390443,0.62856221,0.546970902,-0.075963146,0.213448475,-0.093159022,0.424630203,0.246210837,-0.148022036,-0.121285834
IPI:IPI00006114.4,15497172,,-0.433935607,-0.707647064,-0.33649047,-0.674141238,-0.272527766,-0.06485625,-0.199227406,-0.486697336,-0.836616416,-0.618041695,-0.813136662,-1.12840473,-0.087754581,-1.097531479,-1.019531771,-0.892088696,-0.843984502,-0.848880333,-0.777321332,-0.840946601,-0.658355621,-1.037317035,-0.420152237,-0.591677983,-0.628330828,-0.343767687,-0.23859707,-0.316151672,-0.101191839,0.21282007,-0.137635557,-1.040981986,-0.56013798,-1.190407096,-0.072348386,-0.606369555,-0.850865155,-1.154301098
IPI:IPI00006114.4,70407934,,-1.428975257,,-1.05914234,-1.028227689,-0.596221065,,,-0.837116977,,-1.007631102,,,,-1.223687892,,-1.210706126,,-0.820520819,,,,,-0.000183738,-0.274468219,0.044038777,-0.157082521,-0.124975318,0.102240689,,-0.607922293,-1.30089802,,-1.309694817,-0.959340053,-1.611681871,-1.56620645,,-1.52115275
IPI:IPI00006154.1,9534361,,-0.027838567,-0.236353901,,,0.524250607,,1.426091749,,0.493170113,-0.218408485,,-0.238366577,,2.030415368,,,,0.942756312,,,-0.611738893,,2.511015298,0.678606281,,0.112862997,-0.797884152,0.490903294,-0.12118252,,,-0.787031639,1.153465105,0.047300199,,,0.942314707,-0.356581842
IPI:IPI00006154.1,10437884,,0.486334643,0.042135977,-0.778779296,0.229951335,0.524081598,0.169234099,0.542471982,1.302022696,1.889348422,0.42539669,-0.209949096,0.001168436,-0.293330736,2.915029134,-0.096222708,0.815915473,0.27549691,2.011830428,1.12499817,-0.036916308,,,1.495161585,,,0.134978834,-0.472981467,0.356687416,-0.388260396,0.986656307,0.042666638,-0.59333366,1.903169043,0.390690239,-1.299327245,-0.550078625,1.28623529,
IPI:IPI00006154.1,15355480,0.254900598,,,,,,-0.454666902,,,,,0.683149279,,,,0.30601177,,0.71056517,,-0.077885533,0.269165717,,,,-0.193320813,,0.103969092,,,-0.286263578,,0.257331932,,,,,,,0.735314817
IPI:IPI00006154.1,15364487,0.755686415,0.528306071,0.293955928,,,,0.630616352,,,,0.105549561,,0.240787317,-0.067785602,2.443402845,-0.512497832,1.695390684,-1.136432677,,-0.556285093,-0.072941232,-0.369789477,0.916349523,2.457827097,0.954300829,,0.04737986,-0.846154318,0.673171306,-0.302314447,0.521903733,-1.14344993,-0.503409998,1.224558291,0.548943009,-1.117359109,-1.485771744,1.189817453,0.10307538
IPI:IPI00006154.1,15463139,0.746689708,-0.003377321,0.104282443,-0.565046596,1.657072979,0.678219517,0.480853939,1.781744657,1.479412998,1.131337062,0.114308759,-0.440903504,0.24567295,-0.138213555,1.331546757,-0.764345267,1.45261186,,1.62836175,-0.382452772,0.031275728,-0.257448531,0.781997597,2.553034332,1.019683894,,-0.026844079,-0.871407298,0.904805375,-0.395724225,0.667413417,,-0.400756195,1.264386021,0.545517086,-1.479134127,,0.991393019,-0.0467826
IPI:IPI00006154.1,15584064,0.234873835,0.868505131,0.442931098,-0.74548055,2.491688186,0.904162107,0.845963157,1.613888368,2.900837879,2.867821115,1.092376956,,0.436320784,0.440405883,4.747139321,0.117607459,2.124325814,1.089584583,3.028174181,-0.027115178,0.49257989,-1.297734337,,2.253431495,0.875936222,,0.554161987,-0.338718814,0.850951022,-0.6342065,1.078589625,0.175829233,-0.687684233,2.367853838,1.242104707,-1.22903577,-0.21424178,1.839654412,0.814719219
IPI:IPI00006154.1,35624420,1.142442674,0.839209559,0.217761516,,1.80308561,1.114427749,1.080187578,2.058589904,1.749410243,1.548579815,0.27128834,0.084111793,0.500617483,0.242518412,2.641857579,-0.121614049,2.022421634,-0.535757336,2.236851268,0.183530687,0.561031324,-0.088665024,,,1.027329131,,0.586269434,-0.410153369,0.983515263,0.049160645,,,,1.303701323,,-0.548988376,-1.087511761,1.679323855,0.535724262
IPI:IPI00006543.2,15355141,-0.940764724,0.601636054,-0.129885501,-1.744962695,2.227321531,0.246572177,-0.457098083,,3.002342384,3.318599462,1.649029769,0.117423955,0.197383137,-0.430373506,6.109584162,-0.545546321,2.179241212,1.948257351,3.121706026,-0.036128859,-0.273078611,-0.696443336,0.703669673,0.837007688,-0.14941026,,-1.513729492,-0.335527456,-0.569066526,-1.706896882,0.532835059,0.437199323,,2.60345397,0.577062804,,0.421113016,1.591585789,0.954240819
IPI:IPI00006662.1,10182385,,0.209362735,0.698554193,,,,,,,,,,,,,,-1.134396354,-0.40224471,,,1.56999249,,,,,,,,,,,,,,,,0.540507402,-0.633221926,
IPI:IPI00007047.1,10075179,,,,,0.212536232,,,,,,,,,,,,,,,,-0.517375123,,,,,,0.434891209,,,,,,,,,,-0.008664173,,-0.238388188
IPI:IPI00007047.1,15607468,,-1.61475598,-0.685600772,0.318550814,-0.687075559,,,-1.721868176,,,-1.713648972,,-2.091677697,,,2.030224918,-1.702198745,-1.486961187,,0.645749817,-0.940032125,,,,-1.039407004,,0.089571317,-1.825019216,-2.061474365,-0.596090761,,2.215058088,,,-0.552195614,-0.486790247,-0.313371364,-2.026608985,-0.481594995
IPI:IPI00007199.3,9510352,,,,,,,,,,,,-0.16090701,,,,,,,,,,,,,,,0.307192496,,,,,,,,,,,,
IPI:IPI00007199.3,10180903,,0.185749522,,-0.360385026,,,-0.533007818,-0.377657288,-0.916695941,-0.720620334,-0.882405862,-0.000798536,-0.73850961,-0.094641661,,0.406299649,,-0.773895928,-0.909601631,,,,0.169832272,-0.23353895,0.303026823,0.350972141,0.112154293,-0.510115463,-0.747135281,-0.089951924,0.084011277,0.356419469,,,-0.582471108,-0.240879127,-0.321449859,-0.576211203,
