Mass_Tag_ID,P1A_,P1B_,P2A_,P2B_,P3A_,P3B_,P4A_,P4B_,P5A_,P5B_,P6A_,P6B_
6679063,-0.591378213,-1.22056041,-0.874005433,-0.913354986,-0.689090239,-0.6022598,-0.673903783,-0.904060407,-1.257149821,-1.181639943,-1.195482805,-1.607963126
6679073,-0.32842697,-0.059654652,-0.611725662,-0.538436882,-0.462427365,-0.09700611,-1.521257425,-1.442063031,-0.77873054,0.290115986,-0.513610902,-0.910452076
6679078,,,1.815223587,4.774602432,3.565250953,1.92975309,,2.346003846,-0.818381619,1.769385479,3.738019694,3.708350696
6679124,2.969397951,3.19558836,2.443365604,2.304385196,2.31778092,3.244253828,1.815563662,1.776401784,2.548803521,3.547855806,2.616587166,2.443999481
6679422,2.252960922,2.61130164,2.615606261,3.441910238,2.034601869,2.680081737,2.191079915,2.163900911,0.939881302,3.399513421,2.503306777,1.103823529
6679478,-0.279102141,-0.106050869,-0.475834599,-0.388411757,,-0.452462474,-0.267145835,-0.759136328,-0.570962069,-0.513055269,-0.424282763,-0.820346179
6680037,1.807227457,2.133030229,2.278055332,2.193271283,1.972590159,1.687254724,1.681299636,1.511399322,1.03841118,2.029737392,2.293679585,1.493898304
6683446,0.931813212,0.664868246,0.213699426,0.737085753,0.841886002,0.420553131,0.575936314,,1.333371293,0.158536124,1.110876544,
6683448,2.301950036,1.543838465,0.598322111,1.123612067,1.096562507,0.87798433,0.059950391,,1.443504937,1.263264515,1.653777758,
6683453,-0.459066538,-0.672224486,-0.326836535,-0.764295225,-0.04914987,-1.058985586,-0.929685358,-0.178989435,0.039306128,-0.588254183,-0.445040461,0.553515032
6683462,0.692083616,-0.193192165,0.451685891,-0.084952945,0.903844898,0.967105114,-0.913621779,0.155244673,0.50701343,0.213092624,0.378899187,0.390936385
6685349,0.232870517,-0.108874373,-0.36975224,-0.343232123,0.234993953,0.462501547,-1.172979579,-0.404608542,-0.218721318,-0.373153554,-0.019349566,-0.212522629
6685712,3.499649614,2.5298415,2.760237348,2.059039043,3.183109772,2.969469023,1.554409161,2.200811299,2.606836714,2.515349749,2.598080162,2.576681587
6688850,-2.084874916,-1.581988416,-2.128698452,-1.576864885,-1.569084071,-1.102432482,-1.622410499,-2.077999858,-1.143048883,-1.572763431,-1.393378495,
6688878,-1.02163413,-0.428609017,-0.57228645,-0.551261026,-0.650115968,-0.452372994,-0.235351404,-0.647315668,-0.74714287,-0.37760267,-0.419842616,-1.425626639
