Mass_Tag_ID,Ref_ID,Reference
6948922,2553,IPI:IPI00003362.1
6948929,15068,IPI:IPI00027499.1
6948929,20018,IPI:IPI00220740.1
6948929,16956,IPI:IPI00549248.3
6948929,20822,IPI:IPI00478731.1
6948929,17040,IPI:IPI00554482.1
6948930,29971,IPI:IPI00255316.4
6948930,30135,IPI:IPI00552873.1
6948930,30005,IPI:IPI00339274.4
6948930,29973,IPI:IPI00291764.2
6948930,29964,IPI:IPI00220855.3
6948930,29945,IPI:IPI00216457.6
6948930,29911,IPI:IPI00081836.1
6948930,29917,IPI:IPI00102165.1
6948987,13211,IPI:IPI00301277.1
6948987,2553,IPI:IPI00003362.1
6948987,18240,IPI:IPI00304925.1
6948987,19214,IPI:IPI00514377.3
6948987,2570,IPI:IPI00003865.1
6948987,12368,IPI:IPI00037070.1
6948987,2720,IPI:IPI00007702.1
6948991,6716,IPI:IPI00419585.6
6948991,7911,IPI:IPI00549466.1
6949009,2570,IPI:IPI00003865.1
6949009,2720,IPI:IPI00007702.1
6949009,12368,IPI:IPI00037070.1
6949166,33711,IPI:IPI00218820.1
6949166,23311,IPI:IPI00374397.2
6949166,41883,IPI:IPI00216134.1
6949166,26526,IPI:IPI00178083.2
6949166,26582,IPI:IPI00218319.2
6949166,26774,IPI:IPI00382894.2
6949166,27095,IPI:IPI00477649.1
6949166,27127,IPI:IPI00479185.1
6949166,31969,IPI:IPI00384369.2
6949166,10868,IPI:IPI00442122.1
6949166,29536,IPI:IPI00018853.1
6949166,10884,IPI:IPI00442894.1
6949166,9848,IPI:IPI00296039.7
6949166,9654,IPI:IPI00220709.3
6949166,9467,IPI:IPI00216975.1
6949166,9422,IPI:IPI00216135.1
6949166,8490,IPI:IPI00014581.1
6949166,8476,IPI:IPI00013991.1
6949166,8137,IPI:IPI00000230.5
6949166,2835,IPI:IPI00010779.3
6949166,10993,IPI:IPI00455050.1
6949166,11495,IPI:IPI00513698.1
6949515,30661,IPI:IPI00012048.1
6949515,31851,IPI:IPI00375531.1
6949515,30896,IPI:IPI00026260.1
6949515,30948,IPI:IPI00029091.1
6949763,20939,IPI:IPI00550724.2
6949763,59552,IPI:IPI00397206.1
6949763,58183,IPI:IPI00248359.3
6949763,56286,IPI:IPI00401614.1
6949763,55056,IPI:IPI00385560.1
6949763,51173,IPI:IPI00157721.4
6949763,22029,IPI:IPI00401614.2
6949763,19545,IPI:IPI00023006.1
6949763,21413,IPI:IPI00157721.7
6949763,19529,IPI:IPI00021428.1
6949763,20039,IPI:IPI00248359.4
6949763,19401,IPI:IPI00008603.1
6949763,20909,IPI:IPI00515047.1
6949763,19530,IPI:IPI00021439.1
6949763,19531,IPI:IPI00021440.1
6949763,19572,IPI:IPI00025416.1
6949763,20502,IPI:IPI00414057.2
6949763,20891,IPI:IPI00514530.3
6950879,18730,IPI:IPI00414676.5
6950879,18329,IPI:IPI00334775.3
6951213,19572,IPI:IPI00025416.1
6951213,52879,IPI:IPI00258879.3
6951213,20939,IPI:IPI00550724.2
6951213,20909,IPI:IPI00515047.1
6951213,55056,IPI:IPI00385560.1
6951213,20502,IPI:IPI00414057.2
6951213,19531,IPI:IPI00021440.1
6951213,19530,IPI:IPI00021439.1
6951213,19529,IPI:IPI00021428.1
6951213,19401,IPI:IPI00008603.1
6951213,6916,IPI:IPI00444605.1
6951213,20891,IPI:IPI00514530.3
6951213,19545,IPI:IPI00023006.1
6952291,2553,IPI:IPI00003362.1
6952411,17648,IPI:IPI00141795.4
6952411,65896,IPI:IPI00160438.1
6952411,65270,IPI:IPI00384316.1
6952411,65073,IPI:IPI00179700.1
6952411,65071,IPI:IPI00177716.2
6952411,65021,IPI:IPI00141795.2
6952411,63247,IPI:IPI00395709.1
6952411,41682,IPI:IPI00179700.3
6952411,17823,IPI:IPI00177716.5
6952411,16407,IPI:IPI00411457.2
6952411,18907,IPI:IPI00450855.1
6952482,41405,IPI:IPI00005537.2
6952482,66002,IPI:IPI00334556.1
6952482,37808,IPI:IPI00386010.1
6952487,20578,IPI:IPI00440493.2
6952487,20756,IPI:IPI00471928.3
6952487,20924,IPI:IPI00549805.2
6952494,2553,IPI:IPI00003362.1
6952498,20578,IPI:IPI00440493.2
6952498,20756,IPI:IPI00471928.3
6952498,20924,IPI:IPI00549805.2
6952518,18730,IPI:IPI00414676.5
6952518,41319,IPI:IPI00411633.3
6952518,18329,IPI:IPI00334775.3
6952518,12259,IPI:IPI00027230.3
6952518,41377,IPI:IPI00514027.1
6952604,33828,IPI:IPI00076042.2
6952604,53847,IPI:IPI00329351.3
6952617,29876,IPI:IPI00020599.1
6952818,19572,IPI:IPI00025416.1
6952818,19529,IPI:IPI00021428.1
6952818,55056,IPI:IPI00385560.1
6952818,20909,IPI:IPI00515047.1
6952818,20891,IPI:IPI00514530.3
6952818,20502,IPI:IPI00414057.2
6952818,19339,IPI:IPI00003269.1
6952818,19530,IPI:IPI00021439.1
6952818,19531,IPI:IPI00021440.1
6952818,19401,IPI:IPI00008603.1
6952818,19545,IPI:IPI00023006.1
6952992,12853,IPI:IPI00216318.4
6954164,19023,IPI:IPI00465439.4
6954164,19246,IPI:IPI00549682.1
6954364,18121,IPI:IPI00291006.1
6954828,28348,IPI:IPI00007188.4
6954828,63522,IPI:IPI00007188.1
6954828,56889,IPI:IPI00022891.1
6954828,53018,IPI:IPI00291467.1
6954828,29972,IPI:IPI00291467.4
6954828,21236,IPI:IPI00022891.2
6954828,30631,IPI:IPI00010420.1
6954856,15674,IPI:IPI00219365.2
